student_name,profile_id,degree,start,end,position,advisor_name,advisor_id
"Higuita Borja, Daniel Fernando",1318752,MASTER,2010,2012,"Chile Austral U., Valdivia","Ayón-Beato, Eloy",1017802
"Mendez Zavaleta, Julio Alberto",1380842,MASTER,2010,2012,"Chile Austral U., Valdivia","Ayón-Beato, Eloy",1017802
"Juárez-Aubry, María Montserrat",1762125,PHD,,2014,Arkansas State U.,"Ayón-Beato, Eloy",1017802
"Mendez Zavaleta, Julio Alberto",1380842,PHD,2012,2016,"Chile Austral U., Valdivia","Ayón-Beato, Eloy",1017802
"Higuita Borja, Daniel Fernando",1318752,PHD,2013,2018,"Chile Austral U., Valdivia","Ayón-Beato, Eloy",1017802
"Garcia-Salcedo, Ricardo",1056392,PHD,1998,2003,"CINVESTAV, IPN","Breton, Nora",1015335
"Page, Dany P.",994523,MASTER,,1984,"UNAM, Mexico","Brown, Gerald Edward",1015185
"Mendez, Hector",997818,PHD,,1990,"CINVESTAV, IPN","Butler, Joel N.",1014855
"Cordero, Ruben",1013045,PHD,1991,1999,Mexico U.,"Capovilla, Riccardo",1014558
"Sanchez-Hernandez, Alberto",990458,PHD,1992,1997,"CINVESTAV, IPN","Castilla-Valdez, Heriberto",1014298
"Hernandez-Montoya, Alejandro Raul",1019584,PHD,,1997,"CINVESTAV, IPN","Castilla-Valdez, Heriberto",1014298
"Gonzalez-Solis, Jose Luis",1021766,PHD,,1997,"CINVESTAV, IPN","Castilla-Valdez, Heriberto",1014298
"Magana-Mendoza, Leonel",1021765,PHD,,1997,"CINVESTAV, IPN","Castilla-Valdez, Heriberto",1014298
"De La Cruz Burelo, Eduard",1030771,MASTER,1999,2001,"CINVESTAV, IPN","Castilla-Valdez, Heriberto",1014298
"De La Cruz Burelo, Eduard",1030771,PHD,2001,2005,"CINVESTAV, IPN","Castilla-Valdez, Heriberto",1014298
"Heredia de la Cruz, Ivan",1054564,MASTER,2006,2008,"CINVESTAV, IPN","Castilla-Valdez, Heriberto",1014298
"Hernandez Orduna, Jose de Jesus",1054952,PHD,2003,2011,"CINVESTAV, IPN","Castilla-Valdez, Heriberto",1014298
"Heredia de la Cruz, Ivan",1054564,PHD,2008,2012,"CINVESTAV, IPN","Castilla-Valdez, Heriberto",1014298
"Flores-Tlalpa, A.",1039547,PHD,,2008,"CINVESTAV, IPN","Castro, Gabriel Lopez",
"Villasenor Cendejas, Luis Manuel",1021497,PHD,1981,1988,"IFM-UMSNH, Michoacan","Cline, David B.",982258
"Cotti, Umberto",1012944,PHD,,1996,"IFM-UMSNH, Michoacan","Cline, David B.",982258
"Arteaga-Velazquez, Juan Carlos",1021800,PHD,,2005,"CINVESTAV, IPN","Cline, David B.",982258
"Pelayo, Rodrigo",1035799,PHD,,2008,"CINVESTAV, IPN","Cline, David B.",982258
"Camacho-Perez, Enrique",993787,MASTER,2005,2007,"CINVESTAV, IPN","De La Cruz Burelo, Eduard",1030771
"Garcia Gonzalez, Jose Andres",1068165,MASTER,2008,2010,Mexico U.,"De La Cruz Burelo, Eduard",1030771
"Hernandez Orduna, Jose de Jesus",1054952,PHD,2003,2011,"CINVESTAV, IPN","De La Cruz Burelo, Eduard",1030771
"Camacho-Perez, Enrique",993787,PHD,2008,2011,"CINVESTAV, IPN","De La Cruz Burelo, Eduard",1030771
"Garcia Gonzalez, Jose Andres",1068165,PHD,2010,2015,Mexico U.,"De La Cruz Burelo, Eduard",1030771
"Rosas-Ortiz, Oscar",991268,MASTER,1992,1995,"CINVESTAV, IPN","Fernandez C, David J.",1010144
"Rosas-Ortiz, Oscar",991268,PHD,1995,1997,"CINVESTAV, IPN","Fernandez C, David J.",1010144
"Bermudez, David",1078473,PHD,2008,2013,"CINVESTAV, IPN","Fernandez C, David J.",1010144
"Ayón-Beato, Eloy",1017802,PHD,1998,2000,"Havana, ICIMAF","Garcia Diaz, Alberto A.",1008895
"Terrero-Escalante, Cesar A.",986312,PHD,1998,2001,Colima U.,"Garcia Diaz, Alberto A.",1008895
"Morelos Pineda, Antonio",1021813,PHD,,1992,"CINVESTAV, IPN","Garcia, Augusto",1008892
"Maya-Mendieta, Mario",998195,PHD,,1994,Mexico U.,"Garcia, Augusto",1008892
"Loaiza-Brito, Oscar",1020983,PHD,1997,2002,"CINVESTAV, IPN","Garcia-Compean, Hugo",1008900
"Ramírez Valdez, Carlos Jonathan",1915267,PHD,,,"CINVESTAV, IPN","Garcia-Compean, Hugo",1008900
"Bernal, Argelia",1054249,PHD,,2007,Guanajuato U.,"Guzman, Francisco Siddhartha",1007136
"Martinez Hernandez, Mario Ivan",998585,MASTER,1996,2000,Mexico U.,"Herrera-Corral, Gerardo",1006138
"Martinez Hernandez, Mario Ivan",998585,PHD,2000,2002,Mexico U.,"Herrera-Corral, Gerardo",1006138
"Cruz Albino, Rigoberto",1249489,PHD,,2016,"CINVESTAV, IPN","Herrera-Corral, Gerardo",1006138
"Felix, Jose Antonio Alcantara",1022263,MASTER,1985,1986,"Guanajuato U., FIMEE","Kreisler, Michael N.",1001850
"Morelos Pineda, Antonio",1021813,PHD,,1992,"CINVESTAV, IPN","Lach, Joseph T.",1001326
"Toledo Sanchez, Genaro",1034876,MASTER,1994,1996,"CINVESTAV, IPN","Lopez Castro, Gabriel",
"Toledo Sanchez, Genaro",1034876,PHD,1996,1999,"CINVESTAV, IPN","Lopez Castro, Gabriel",
"Ramírez Valdez, Carlos Jonathan",1915267,PHD,,,"CINVESTAV, IPN","Manko, Vladimir S.",998961
"Napsuciale, Mauro",996077,PHD,,1995,Guanajuato U.,"Martinez, Jose Luis Lucio",
"Guzman, Francisco Siddhartha",1007136,PHD,,2000,"Unlisted, CU","Matos, Tonatiuh",998375
"Urena-Lopez, L.Arturo",985188,PHD,1997,2001,Guanajuato U.,"Matos, Tonatiuh",998375
"García Aspeitia, Miguel Ángel",1078291,PHD,2008,2011,"Conacyt, Mexico","Matos, Tonatiuh",998375
"Padilla Albores, Luis Enrique",1774079,PHD,2014,2020,"Mexico U., ICN","Matos, Tonatiuh",998375
"Fernandez C, David J.",1010144,PHD,1984,1988,"CINVESTAV, IPN","Mielnik, Bogdan",1055726
"Barranco, Juan",1041799,PHD,2000,2006,CERN,"Miranda, Omar G.",997309
"Barranco Monarca, Juan",1271820,PHD,,2006,Guanajuato U.,"Miranda, Omar G.",997309
"Garcés, Estela A.",1054546,PHD,2008,2012,"UNAM, Mexico","Miranda, Omar G.",997309
"Parada Valencia, Alexander",1384628,PHD,2008,2014,Santiago de Cali U.,"Miranda, Omar G.",997309
"Ayala-Torres, Marco Alberto",1768621,MASTER,2015,2017,"CINVESTAV, IPN","Montano Zetina, Luis Manuel",1066312
"Ayala-Torres, Marco Alberto",1768621,PHD,2018,2022,"CINVESTAV, IPN","Montano Zetina, Luis Manuel",1066312
"Velazquez, Mercedes Paulina",1059475,PHD,,2011,"CINVESTAV, IPN","Montesinos-Velasquez, Merced",996953
