key,value
ISO3,CUB
HDR Country Name,Cuba
Human Development Groups,High
UNDP Developeing Regions,LAC
HDI Rank (2022),85
Human Development Index (value) (1990),0.684
Human Development Index (value) (1991),0.678
Human Development Index (value) (1992),0.671
Human Development Index (value) (1993),0.662
Human Development Index (value) (1994),0.659
Human Development Index (value) (1995),0.661
Human Development Index (value) (1996),0.672
Human Development Index (value) (1997),0.676
Human Development Index (value) (1998),0.68
Human Development Index (value) (1999),0.687
Human Development Index (value) (2000),0.694
Human Development Index (value) (2001),0.701
Human Development Index (value) (2002),0.706
Human Development Index (value) (2003),0.714
Human Development Index (value) (2004),0.728
Human Development Index (value) (2005),0.741
Human Development Index (value) (2006),0.761
Human Development Index (value) (2007),0.775
Human Development Index (value) (2008),0.784
Human Development Index (value) (2009),0.784
Human Development Index (value) (2010),0.779
Human Development Index (value) (2011),0.776
Human Development Index (value) (2012),0.771
Human Development Index (value) (2013),0.766
Human Development Index (value) (2014),0.766
Human Development Index (value) (2015),0.765
Human Development Index (value) (2016),0.763
Human Development Index (value) (2017),0.764
Human Development Index (value) (2018),0.765
Human Development Index (value) (2019),0.766
Human Development Index (value) (2020),0.759
Human Development Index (value) (2021),0.742
Human Development Index (value) (2022),0.764
Life Expectancy at Birth (years) (1990),74.039
Life Expectancy at Birth (years) (1991),74.093
Life Expectancy at Birth (years) (1992),74.162
Life Expectancy at Birth (years) (1993),74.261
Life Expectancy at Birth (years) (1994),74.411
Life Expectancy at Birth (years) (1995),74.623
Life Expectancy at Birth (years) (1996),74.903
Life Expectancy at Birth (years) (1997),75.222
Life Expectancy at Birth (years) (1998),75.564
Life Expectancy at Birth (years) (1999),75.893
Life Expectancy at Birth (years) (2000),76.183
Life Expectancy at Birth (years) (2001),76.421
Life Expectancy at Birth (years) (2002),76.612
Life Expectancy at Birth (years) (2003),76.773
Life Expectancy at Birth (years) (2004),76.912
Life Expectancy at Birth (years) (2005),77.047
Life Expectancy at Birth (years) (2006),77.179
Life Expectancy at Birth (years) (2007),77.307
Life Expectancy at Birth (years) (2008),77.429
Life Expectancy at Birth (years) (2009),77.548
Life Expectancy at Birth (years) (2010),77.661
Life Expectancy at Birth (years) (2011),77.76
Life Expectancy at Birth (years) (2012),77.833
Life Expectancy at Birth (years) (2013),77.87
Life Expectancy at Birth (years) (2014),77.853
Life Expectancy at Birth (years) (2015),77.772
Life Expectancy at Birth (years) (2016),77.643
Life Expectancy at Birth (years) (2017),77.529
Life Expectancy at Birth (years) (2018),77.496
Life Expectancy at Birth (years) (2019),77.611
Life Expectancy at Birth (years) (2020),77.567
Life Expectancy at Birth (years) (2021),73.683
Life Expectancy at Birth (years) (2022),78.155
Expected Years of Schooling (years) (1990),12.60223961
Expected Years of Schooling (years) (1991),12.52694988
Expected Years of Schooling (years) (1992),12.36981964
Expected Years of Schooling (years) (1993),12.27513027
Expected Years of Schooling (years) (1994),11.70328045
