key,value
ISO3,SLV
HDR Country Name,El Salvador
Human Development Groups,Medium
UNDP Developeing Regions,LAC
HDI Rank (2022),127
Human Development Index (value) (1990),0.519
Human Development Index (value) (1991),0.528
Human Development Index (value) (1992),0.538
Human Development Index (value) (1993),0.546
Human Development Index (value) (1994),0.557
Human Development Index (value) (1995),0.567
Human Development Index (value) (1996),0.576
Human Development Index (value) (1997),0.586
Human Development Index (value) (1998),0.595
Human Development Index (value) (1999),0.6
Human Development Index (value) (2000),0.609
Human Development Index (value) (2001),0.612
Human Development Index (value) (2002),0.621
Human Development Index (value) (2003),0.627
Human Development Index (value) (2004),0.633
Human Development Index (value) (2005),0.64
Human Development Index (value) (2006),0.645
Human Development Index (value) (2007),0.651
Human Development Index (value) (2008),0.651
Human Development Index (value) (2009),0.651
Human Development Index (value) (2010),0.657
Human Development Index (value) (2011),0.657
Human Development Index (value) (2012),0.661
Human Development Index (value) (2013),0.664
Human Development Index (value) (2014),0.663
Human Development Index (value) (2015),0.663
Human Development Index (value) (2016),0.664
Human Development Index (value) (2017),0.667
Human Development Index (value) (2018),0.673
Human Development Index (value) (2019),0.676
Human Development Index (value) (2020),0.666
Human Development Index (value) (2021),0.669
Human Development Index (value) (2022),0.674
Life Expectancy at Birth (years) (1990),62.55
Life Expectancy at Birth (years) (1991),63.856
Life Expectancy at Birth (years) (1992),64.657
Life Expectancy at Birth (years) (1993),65.235
Life Expectancy at Birth (years) (1994),65.838
Life Expectancy at Birth (years) (1995),66.33
Life Expectancy at Birth (years) (1996),67.076
Life Expectancy at Birth (years) (1997),67.895
Life Expectancy at Birth (years) (1998),68.478
Life Expectancy at Birth (years) (1999),69.379
Life Expectancy at Birth (years) (2000),69.865
Life Expectancy at Birth (years) (2001),69.598
Life Expectancy at Birth (years) (2002),70.232
Life Expectancy at Birth (years) (2003),70.14
Life Expectancy at Birth (years) (2004),70.34
Life Expectancy at Birth (years) (2005),70.44
Life Expectancy at Birth (years) (2006),70.773
Life Expectancy at Birth (years) (2007),71.108
Life Expectancy at Birth (years) (2008),71.424
Life Expectancy at Birth (years) (2009),71.576
Life Expectancy at Birth (years) (2010),71.848
Life Expectancy at Birth (years) (2011),71.859
Life Expectancy at Birth (years) (2012),71.831
