key,value
ISO3,GTM
HDR Country Name,Guatemala
Human Development Groups,Medium
UNDP Developeing Regions,LAC
HDI Rank (2022),136
Human Development Index (value) (1990),0.49
Human Development Index (value) (1991),0.494
Human Development Index (value) (1992),0.497
Human Development Index (value) (1993),0.502
Human Development Index (value) (1994),0.506
Human Development Index (value) (1995),0.511
Human Development Index (value) (1996),0.519
Human Development Index (value) (1997),0.527
Human Development Index (value) (1998),0.535
Human Development Index (value) (1999),0.544
Human Development Index (value) (2000),0.551
Human Development Index (value) (2001),0.556
Human Development Index (value) (2002),0.561
Human Development Index (value) (2003),0.566
Human Development Index (value) (2004),0.57
Human Development Index (value) (2005),0.574
Human Development Index (value) (2006),0.58
Human Development Index (value) (2007),0.59
Human Development Index (value) (2008),0.599
Human Development Index (value) (2009),0.606
Human Development Index (value) (2010),0.613
Human Development Index (value) (2011),0.617
Human Development Index (value) (2012),0.62
Human Development Index (value) (2013),0.623
Human Development Index (value) (2014),0.64
Human Development Index (value) (2015),0.629
Human Development Index (value) (2016),0.633
Human Development Index (value) (2017),0.636
Human Development Index (value) (2018),0.64
Human Development Index (value) (2019),0.645
Human Development Index (value) (2020),0.638
Human Development Index (value) (2021),0.63
Human Development Index (value) (2022),0.629
Life Expectancy at Birth (years) (1990),62.473
Life Expectancy at Birth (years) (1991),62.725
Life Expectancy at Birth (years) (1992),62.913
Life Expectancy at Birth (years) (1993),63.349
Life Expectancy at Birth (years) (1994),63.726
Life Expectancy at Birth (years) (1995),64.195
Life Expectancy at Birth (years) (1996),64.863
Life Expectancy at Birth (years) (1997),65.536
Life Expectancy at Birth (years) (1998),66.114
Life Expectancy at Birth (years) (1999),66.869
Life Expectancy at Birth (years) (2000),67.446
Life Expectancy at Birth (years) (2001),67.946
Life Expectancy at Birth (years) (2002),68.386
Life Expectancy at Birth (years) (2003),68.797
Life Expectancy at Birth (years) (2004),69.165
Life Expectancy at Birth (years) (2005),69.168
Life Expectancy at Birth (years) (2006),69.812
