key,value
ISO3,HND
HDR Country Name,Honduras
Human Development Groups,Medium
UNDP Developeing Regions,LAC
HDI Rank (2022),138
Human Development Index (value) (1990),0.513
Human Development Index (value) (1991),0.514
Human Development Index (value) (1992),0.518
Human Development Index (value) (1993),0.523
Human Development Index (value) (1994),0.526
Human Development Index (value) (1995),0.532
Human Development Index (value) (1996),0.536
Human Development Index (value) (1997),0.541
Human Development Index (value) (1998),0.524
Human Development Index (value) (1999),0.548
Human Development Index (value) (2000),0.553
Human Development Index (value) (2001),0.557
Human Development Index (value) (2002),0.561
Human Development Index (value) (2003),0.565
Human Development Index (value) (2004),0.57
Human Development Index (value) (2005),0.575
Human Development Index (value) (2006),0.579
Human Development Index (value) (2007),0.584
Human Development Index (value) (2008),0.589
Human Development Index (value) (2009),0.592
Human Development Index (value) (2010),0.596
Human Development Index (value) (2011),0.598
Human Development Index (value) (2012),0.596
Human Development Index (value) (2013),0.602
Human Development Index (value) (2014),0.603
Human Development Index (value) (2015),0.61
Human Development Index (value) (2016),0.615
Human Development Index (value) (2017),0.614
Human Development Index (value) (2018),0.614
Human Development Index (value) (2019),0.629
Human Development Index (value) (2020),0.621
Human Development Index (value) (2021),0.62
Human Development Index (value) (2022),0.624
Life Expectancy at Birth (years) (1990),65.243
Life Expectancy at Birth (years) (1991),65.752
Life Expectancy at Birth (years) (1992),65.991
Life Expectancy at Birth (years) (1993),66.251
Life Expectancy at Birth (years) (1994),66.574
Life Expectancy at Birth (years) (1995),67.139
Life Expectancy at Birth (years) (1996),67.439
Life Expectancy at Birth (years) (1997),67.777
Life Expectancy at Birth (years) (1998),62.721
Life Expectancy at Birth (years) (1999),68.422
Life Expectancy at Birth (years) (2000),68.662
Life Expectancy at Birth (years) (2001),69.006
Life Expectancy at Birth (years) (2002),69.366
Life Expectancy at Birth (years) (2003),69.507
Life Expectancy at Birth (years) (2004),69.796
Life Expectancy at Birth (years) (2005),70.104
Life Expectancy at Birth (years) (2006),70.261
Life Expectancy at Birth (years) (2007),70.376
Life Expectancy at Birth (years) (2008),70.441
Life Expectancy at Birth (years) (2009),70.911
Life Expectancy at Birth (years) (2010),71.088
Life Expectancy at Birth (years) (2011),71.439
Life Expectancy at Birth (years) (2012),71.734
Life Expectancy at Birth (years) (2013),71.963
Life Expectancy at Birth (years) (2014),72.259
Life Expectancy at Birth (years) (2015),72.487
Life Expectancy at Birth (years) (2016),72.588
Life Expectancy at Birth (years) (2017),72.692
Life Expectancy at Birth (years) (2018),72.814
Life Expectancy at Birth (years) (2019),72.881
Life Expectancy at Birth (years) (2020),71.462
Life Expectancy at Birth (years) (2021),70.123
Life Expectancy at Birth (years) (2022),70.728
Expected Years of Schooling (years) (1990),8.164045768
Expected Years of Schooling (years) (1991),8.22233963
Expected Years of Schooling (years) (1992),8.281049728
Expected Years of Schooling (years) (1993),8.339759827
Expected Years of Schooling (years) (1994),8.457868512
Expected Years of Schooling (years) (1995),8.575977198
Expected Years of Schooling (years) (1996),8.694085884
Expected Years of Schooling (years) (1997),8.81219457
Expected Years of Schooling (years) (1998),8.930303256
Expected Years of Schooling (years) (1999),9.048411942
Expected Years of Schooling (years) (2000),9.166520627
Expected Years of Schooling (years) (2001),9.284629313
Expected Years of Schooling (years) (2002),9.402737999
Expected Years of Schooling (years) (2003),9.520846685
Expected Years of Schooling (years) (2004),9.638955371
Expected Years of Schooling (years) (2005),9.757064056
Expected Years of Schooling (years) (2006),9.875172742
Expected Years of Schooling (years) (2007),9.993281428
Expected Years of Schooling (years) (2008),10.11139011
Expected Years of Schooling (years) (2009),10.17946529
Expected Years of Schooling (years) (2010),10.24754047
Expected Years of Schooling (years) (2011),10.08246517
Expected Years of Schooling (years) (2012),9.91738987
Expected Years of Schooling (years) (2013),9.886475411
Expected Years of Schooling (years) (2014),9.511977939
