key,value
ISO3,PRY
HDR Country Name,Paraguay
Human Development Groups,High
UNDP Developeing Regions,LAC
HDI Rank (2022),102
Human Development Index (value) (1990),0.604
Human Development Index (value) (1991),0.609
Human Development Index (value) (1992),0.614
Human Development Index (value) (1993),0.621
Human Development Index (value) (1994),0.626
Human Development Index (value) (1995),0.631
Human Development Index (value) (1996),0.64
Human Development Index (value) (1997),0.646
Human Development Index (value) (1998),0.652
Human Development Index (value) (1999),0.656
Human Development Index (value) (2000),0.656
Human Development Index (value) (2001),0.662
Human Development Index (value) (2002),0.669
Human Development Index (value) (2003),0.663
Human Development Index (value) (2004),0.671
Human Development Index (value) (2005),0.673
Human Development Index (value) (2006),0.674
Human Development Index (value) (2007),0.681
Human Development Index (value) (2008),0.691
Human Development Index (value) (2009),0.691
Human Development Index (value) (2010),0.7
Human Development Index (value) (2011),0.711
Human Development Index (value) (2012),0.716
Human Development Index (value) (2013),0.729
Human Development Index (value) (2014),0.731
Human Development Index (value) (2015),0.738
Human Development Index (value) (2016),0.736
Human Development Index (value) (2017),0.739
Human Development Index (value) (2018),0.742
Human Development Index (value) (2019),0.746
Human Development Index (value) (2020),0.742
Human Development Index (value) (2021),0.73
Human Development Index (value) (2022),0.731
Life Expectancy at Birth (years) (1990),67.944
Life Expectancy at Birth (years) (1991),68.173
Life Expectancy at Birth (years) (1992),68.395
Life Expectancy at Birth (years) (1993),68.633
Life Expectancy at Birth (years) (1994),68.824
Life Expectancy at Birth (years) (1995),69.009
Life Expectancy at Birth (years) (1996),69.202
Life Expectancy at Birth (years) (1997),69.325
Life Expectancy at Birth (years) (1998),69.478
Life Expectancy at Birth (years) (1999),69.634
Life Expectancy at Birth (years) (2000),69.75
Life Expectancy at Birth (years) (2001),69.9
Life Expectancy at Birth (years) (2002),70.025
Life Expectancy at Birth (years) (2003),70.297
Life Expectancy at Birth (years) (2004),70.481
Life Expectancy at Birth (years) (2005),70.527
Life Expectancy at Birth (years) (2006),70.781
Life Expectancy at Birth (years) (2007),71.106
Life Expectancy at Birth (years) (2008),71.384
Life Expectancy at Birth (years) (2009),71.635
Life Expectancy at Birth (years) (2010),71.887
Life Expectancy at Birth (years) (2011),72.131
Life Expectancy at Birth (years) (2012),72.454
Life Expectancy at Birth (years) (2013),72.757
Life Expectancy at Birth (years) (2014),72.878
Life Expectancy at Birth (years) (2015),73.191
Life Expectancy at Birth (years) (2016),73.534
Life Expectancy at Birth (years) (2017),73.644
Life Expectancy at Birth (years) (2018),73.568
Life Expectancy at Birth (years) (2019),73.621
Life Expectancy at Birth (years) (2020),73.182
Life Expectancy at Birth (years) (2021),70.262
Life Expectancy at Birth (years) (2022),70.475
Expected Years of Schooling (years) (1990),9.1561203
Expected Years of Schooling (years) (1991),9.445473671
Expected Years of Schooling (years) (1992),9.734827042
Expected Years of Schooling (years) (1993),10.02418041
Expected Years of Schooling (years) (1994),10.21538544
Expected Years of Schooling (years) (1995),10.40659046
Expected Years of Schooling (years) (1996),10.73869038
Expected Years of Schooling (years) (1997),11.14942678
Expected Years of Schooling (years) (1998),11.56016318
Expected Years of Schooling (years) (1999),11.97089958
Expected Years of Schooling (years) (2000),12.14581013
Expected Years of Schooling (years) (2001),12.57310009
Expected Years of Schooling (years) (2002),13.07223988
Expected Years of Schooling (years) (2003),12.49347973
Expected Years of Schooling (years) (2004),12.73396015
Expected Years of Schooling (years) (2005),12.60157967
Expected Years of Schooling (years) (2006),12.56324482
Expected Years of Schooling (years) (2007),12.52490997
Expected Years of Schooling (years) (2008),12.80463982
Expected Years of Schooling (years) (2009),13.19958973
Expected Years of Schooling (years) (2010),13.17776012
Expected Years of Schooling (years) (2011),13.63876238
Expected Years of Schooling (years) (2012),13.8313493
Expected Years of Schooling (years) (2013),14.01141217
Expected Years of Schooling (years) (2014),13.95511831
Expected Years of Schooling (years) (2015),14.05043959
Expected Years of Schooling (years) (2016),13.80566436
Expected Years of Schooling (years) (2017),13.73734935
Expected Years of Schooling (years) (2018),13.78701911
Expected Years of Schooling (years) (2019),14.04147203
Expected Years of Schooling (years) (2020),13.91056957
Expected Years of Schooling (years) (2021),13.91056957
Expected Years of Schooling (years) (2022),13.91056957
Mean Years of Schooling (years) (1990),5.684462242
Mean Years of Schooling (years) (1991),5.782122307
Mean Years of Schooling (years) (1992),5.88146019
Mean Years of Schooling (years) (1993),5.982504715
Mean Years of Schooling (years) (1994),6.083549239
Mean Years of Schooling (years) (1995),6.184593764
Mean Years of Schooling (years) (1996),6.285638289
Mean Years of Schooling (years) (1997),6.386682814
Mean Years of Schooling (years) (1998),6.487727339
Mean Years of Schooling (years) (1999),6.588771863
Mean Years of Schooling (years) (2000),6.689816388
Mean Years of Schooling (years) (2001),6.790860913
Mean Years of Schooling (years) (2002),6.891905438
Mean Years of Schooling (years) (2003),6.992949963
Mean Years of Schooling (years) (2004),7.170140028
Mean Years of Schooling (years) (2005),7.347330093
Mean Years of Schooling (years) (2006),7.069910049
Mean Years of Schooling (years) (2007),7.153329849
Mean Years of Schooling (years) (2008),7.389259815
Mean Years of Schooling (years) (2009),7.032569885
Mean Years of Schooling (years) (2010),7.280279954
Mean Years of Schooling (years) (2011),7.527990023
Mean Years of Schooling (years) (2012),7.775700092
Mean Years of Schooling (years) (2013),8.290029526
Mean Years of Schooling (years) (2014),8.247850418
Mean Years of Schooling (years) (2015),8.524069786
Mean Years of Schooling (years) (2016),8.351449966
Mean Years of Schooling (years) (2017),8.468514919
Mean Years of Schooling (years) (2018),8.585579872
Mean Years of Schooling (years) (2019),8.810709953
Mean Years of Schooling (years) (2020),8.861840248
Mean Years of Schooling (years) (2021),8.861840248
Mean Years of Schooling (years) (2022),8.861840248
Gross National Income Per Capita (2017 PPP$) (1990),8543.997289
Gross National Income Per Capita (2017 PPP$) (1991),8457.030817
Gross National Income Per Capita (2017 PPP$) (1992),8293.900308
Gross National Income Per Capita (2017 PPP$) (1993),8433.452815
Gross National Income Per Capita (2017 PPP$) (1994),8497.619443
Gross National Income Per Capita (2017 PPP$) (1995),8673.989901
Gross National Income Per Capita (2017 PPP$) (1996),9128.401774
