key,value
ISO3,URY
HDR Country Name,Uruguay
Human Development Groups,Very High
UNDP Developeing Regions,LAC
HDI Rank (2022),52
Human Development Index (value) (1990),0.702
Human Development Index (value) (1991),0.706
Human Development Index (value) (1992),0.709
Human Development Index (value) (1993),0.712
Human Development Index (value) (1994),0.718
Human Development Index (value) (1995),0.72
Human Development Index (value) (1996),0.726
Human Development Index (value) (1997),0.738
Human Development Index (value) (1998),0.747
Human Development Index (value) (1999),0.751
Human Development Index (value) (2000),0.754
Human Development Index (value) (2001),0.761
Human Development Index (value) (2002),0.765
Human Development Index (value) (2003),0.771
Human Development Index (value) (2004),0.77
Human Development Index (value) (2005),0.768
Human Development Index (value) (2006),0.767
Human Development Index (value) (2007),0.769
Human Development Index (value) (2008),0.773
Human Development Index (value) (2009),0.776
Human Development Index (value) (2010),0.785
Human Development Index (value) (2011),0.791
Human Development Index (value) (2012),0.794
Human Development Index (value) (2013),0.802
Human Development Index (value) (2014),0.805
Human Development Index (value) (2015),0.807
Human Development Index (value) (2016),0.811
Human Development Index (value) (2017),0.815
Human Development Index (value) (2018),0.815
Human Development Index (value) (2019),0.818
Human Development Index (value) (2020),0.82
Human Development Index (value) (2021),0.814
Human Development Index (value) (2022),0.83
Life Expectancy at Birth (years) (1990),73.162
Life Expectancy at Birth (years) (1991),73.305
Life Expectancy at Birth (years) (1992),73.441
Life Expectancy at Birth (years) (1993),73.579
Life Expectancy at Birth (years) (1994),73.728
Life Expectancy at Birth (years) (1995),73.896
Life Expectancy at Birth (years) (1996),74.088
Life Expectancy at Birth (years) (1997),74.298
Life Expectancy at Birth (years) (1998),74.527
Life Expectancy at Birth (years) (1999),74.769
Life Expectancy at Birth (years) (2000),75.025
Life Expectancy at Birth (years) (2001),75.285
Life Expectancy at Birth (years) (2002),75.54
Life Expectancy at Birth (years) (2003),75.785
Life Expectancy at Birth (years) (2004),76.007
Life Expectancy at Birth (years) (2005),76.194
Life Expectancy at Birth (years) (2006),76.362
Life Expectancy at Birth (years) (2007),76.498
Life Expectancy at Birth (years) (2008),76.623
Life Expectancy at Birth (years) (2009),76.738
Life Expectancy at Birth (years) (2010),76.858
Life Expectancy at Birth (years) (2011),76.983
Life Expectancy at Birth (years) (2012),77.111
Life Expectancy at Birth (years) (2013),77.24
Life Expectancy at Birth (years) (2014),77.366
Life Expectancy at Birth (years) (2015),77.483
Life Expectancy at Birth (years) (2016),77.571
Life Expectancy at Birth (years) (2017),77.625
Life Expectancy at Birth (years) (2018),77.611
Life Expectancy at Birth (years) (2019),77.508
Life Expectancy at Birth (years) (2020),78.43
Life Expectancy at Birth (years) (2021),75.436
Life Expectancy at Birth (years) (2022),78
Expected Years of Schooling (years) (1990),12.9682703
Expected Years of Schooling (years) (1991),13.05552959
Expected Years of Schooling (years) (1992),12.86606026
Expected Years of Schooling (years) (1993),12.98691773
Expected Years of Schooling (years) (1994),13.10777521
Expected Years of Schooling (years) (1995),13.22863269
Expected Years of Schooling (years) (1996),13.34949017
Expected Years of Schooling (years) (1997),13.72067022
