key,value
ISO3,VEN
HDR Country Name,Venezuela (Bolivarian Republic of)
Human Development Groups,Medium
UNDP Developeing Regions,LAC
HDI Rank (2022),119
Human Development Index (value) (1990),0.657
Human Development Index (value) (1991),0.668
Human Development Index (value) (1992),0.675
Human Development Index (value) (1993),0.678
Human Development Index (value) (1994),0.679
Human Development Index (value) (1995),0.685
Human Development Index (value) (1996),0.687
Human Development Index (value) (1997),0.694
Human Development Index (value) (1998),0.697
Human Development Index (value) (1999),0.695
Human Development Index (value) (2000),0.699
Human Development Index (value) (2001),0.704
Human Development Index (value) (2002),0.711
Human Development Index (value) (2003),0.702
Human Development Index (value) (2004),0.713
Human Development Index (value) (2005),0.722
Human Development Index (value) (2006),0.73
Human Development Index (value) (2007),0.747
Human Development Index (value) (2008),0.754
Human Development Index (value) (2009),0.754
Human Development Index (value) (2010),0.759
Human Development Index (value) (2011),0.766
Human Development Index (value) (2012),0.769
Human Development Index (value) (2013),0.771
Human Development Index (value) (2014),0.768
Human Development Index (value) (2015),0.766
Human Development Index (value) (2016),0.759
Human Development Index (value) (2017),0.75
Human Development Index (value) (2018),0.738
Human Development Index (value) (2019),0.72
Human Development Index (value) (2020),0.691
Human Development Index (value) (2021),0.69
Human Development Index (value) (2022),0.699
Life Expectancy at Birth (years) (1990),71.532
Life Expectancy at Birth (years) (1991),71.832
Life Expectancy at Birth (years) (1992),71.806
Life Expectancy at Birth (years) (1993),71.925
Life Expectancy at Birth (years) (1994),71.853
Life Expectancy at Birth (years) (1995),72.143
Life Expectancy at Birth (years) (1996),72.111
Life Expectancy at Birth (years) (1997),72.703
Life Expectancy at Birth (years) (1998),72.668
Life Expectancy at Birth (years) (1999),72.254
Life Expectancy at Birth (years) (2000),72.478
Life Expectancy at Birth (years) (2001),71.201
Life Expectancy at Birth (years) (2002),72.662
Life Expectancy at Birth (years) (2003),71.94
Life Expectancy at Birth (years) (2004),72.514
Life Expectancy at Birth (years) (2005),72.782
Life Expectancy at Birth (years) (2006),72.742
Life Expectancy at Birth (years) (2007),73.058
Life Expectancy at Birth (years) (2008),72.436
Life Expectancy at Birth (years) (2009),72.579
Life Expectancy at Birth (years) (2010),72.89
Life Expectancy at Birth (years) (2011),72.913
Life Expectancy at Birth (years) (2012),73.036
